num,team
1,Air Force
2,Akron
3,Alabama
4,Appalachian State
5,Arizona
6,Arizona State
7,Arkansas
8,Arkansas State
9,Army
10,Auburn
11,Ball State
12,Baylor
13,Boise State
14,Boston College
15,Bowling Green
16,Buffalo
17,BYU
18,California
19,Central Michigan
20,Charlotte
21,Cincinnati
22,Clemson
23,Coastal Carolina
24,Colorado
25,Colorado State
26,Connecticut
27,Duke
28,East Carolina
29,Eastern Michigan
30,Florida
31,Florida Atlantic
32,Florida International
33,Florida State
34,Fresno State
35,Georgia
36,Georgia Southern
37,Georgia State
38,Georgia Tech
39,Hawai'i
40,Houston
41,Illinois
42,Indiana
43,Iowa
44,Iowa State
45,Jacksonville State
46,James Madison
47,Kansas
48,Kansas State
49,Kent State
50,Kentucky
51,Liberty
52,Louisiana
53,Louisiana Monroe
54,Louisiana Tech
55,Louisville
56,LSU
57,Marshall
58,Maryland
59,Memphis
60,Miami
61,Miami (OH)
62,Michigan
63,Michigan State
64,Middle Tennessee
65,Minnesota
66,Mississippi State
67,Missouri
68,Navy
69,NC State
70,Nebraska
71,Nevada
72,New Mexico
73,New Mexico State
74,North Carolina
76,North Texas
75,Northern Illinois
77,Northwestern
78,Notre Dame
79,Ohio
80,Ohio State
81,Oklahoma
82,Oklahoma State
83,Old Dominion
84,Ole Miss
85,Oregon
86,Oregon State
87,Penn State
88,Pittsburgh
89,Purdue
90,Rice
91,Rutgers
92,Sam Houston State
93,San Diego State
94,San Jose State
95,SMU
96,South Alabama
97,South Carolina
99,South Florida
98,Southern Mississippi
100,Stanford
101,Syracuse
102,TCU
103,Temple
104,Tennessee
105,Texas
106,Texas A&M
107,Texas State
108,Texas Tech
109,Toledo
110,Troy
111,Tulane
112,Tulsa
113,UAB
114,UCF
115,UCLA
116,UMass
117,UNLV
118,USC
122,UTSA
119,Utah
120,Utah State
121,UTEP
123,Vanderbilt
124,Virginia
125,Virginia Tech
126,Wake Forest
127,Washington
128,Washington State
131,West Virginia
129,Western Kentucky
130,Western Michigan
132,Wisconsin
133,Wyoming