Game Code,Date,Visit Team Code,Home Team Code,Stadium Code,Site
0231036620230826,08/26/2023,231,366,59,TEAM
0277073620230826,08/26/2023,277,736,117,TEAM
0400047220230826,08/26/2023,400,472,88,TEAM
0519062620230826,08/26/2023,519,626,746,TEAM
0630065720230826,08/26/2023,630,657,14,TEAM
0704031520230826,08/26/2023,704,315,207,TEAM
0726051320230826,08/26/2023,726,513,181,NEUTRAL
0235073220230831,08/31/2023,235,732,135,TEAM
0331012820230831,08/31/2023,331,128,146,TEAM
0463042820230831,08/31/2023,463,428,153,TEAM
0488000920230831,08/31/2023,488,9,329,TEAM
0490016420230831,08/31/2023,490,164,25,TEAM
0572025420230831,08/31/2023,572,254,189,TEAM
0600077420230831,08/31/2023,600,774,69,TEAM
0650043420230831,08/31/2023,650,434,73,TEAM
0667002820230831,08/31/2023,667,28,10,TEAM
1068074920230831,08/31/2023,1068,749,83,TEAM
2678071920230831,08/31/2023,2678,719,105,TEAM
0129041620230901,09/01/2023,129,416,68,TEAM
0290020420230901,09/01/2023,290,204,71,TEAM
0367025520230901,09/01/2023,367,255,192,TEAM
0414041520230901,09/01/2023,414,415,30,TEAM
0669032820230901,09/01/2023,669,328,51,TEAM
0674027720230901,09/01/2023,674,277,203,TEAM
0005069020230902,09/02/2023,5,690,109,TEAM
0006073620230902,09/02/2023,6,736,117,TEAM
0014038820230902,09/02/2023,14,388,142,TEAM
0017066420230902,09/02/2023,17,664,75,TEAM
0030052220230902,09/02/2023,30,522,103,TEAM
0047033420230902,09/02/2023,47,334,53,TEAM
0061040420230902,09/02/2023,61,404,115,TEAM
0066075620230902,09/02/2023,66,756,139,TEAM
0071035520230902,09/02/2023,71,355,194,TEAM
0081046520230902,09/02/2023,81,465,198,TEAM
0083031720230902,09/02/2023,83,317,323,TEAM
0086079620230902,09/02/2023,86,796,141,TEAM
0096055920230902,09/02/2023,96,559,50,TEAM
0107049720230902,09/02/2023,107,497,160,TEAM
0141025320230902,09/02/2023,141,253,167,TEAM
0149011020230902,09/02/2023,149,110,15,TEAM
0153068820230902,09/02/2023,153,688,92,TEAM
0157069820230902,09/02/2023,157,698,125,TEAM
0196041820230902,09/02/2023,196,418,66,TEAM
0198031520230902,09/02/2023,198,315,207,TEAM
0202014020230902,09/02/2023,202,140,97,TEAM
0294062620230902,09/02/2023,294,626,746,TEAM
0361051920230902,09/02/2023,361,519,95,TEAM
0366066320230902,09/02/2023,366,663,122,TEAM
0380023120230902,09/02/2023,380,231,31,TEAM
0400003720230902,09/02/2023,400,37,1,TEAM
0406043320230902,09/02/2023,406,433,76,TEAM
0419000820230902,09/02/2023,419,8,5,TEAM
0439022920230902,09/02/2023,439,229,159,TEAM
0457064820230902,09/02/2023,457,648,79,NEUTRAL
0466065720230902,09/02/2023,466,657,14,TEAM
0473069720230902,09/02/2023,473,697,120,TEAM
0501002920230902,09/02/2023,501,29,11,TEAM
0503006720230902,09/02/2023,503,67,61,TEAM
0504031120230902,09/02/2023,504,311,40,TEAM
0508067120230902,09/02/2023,508,671,56,TEAM
0518030620230902,09/02/2023,518,306,47,TEAM
0523074220230902,09/02/2023,523,742,136,TEAM
0550052920230902,09/02/2023,550,529,108,TEAM
0574070320230902,09/02/2023,574,703,119,TEAM
0579072120230902,09/02/2023,579,721,21,TEAM
0624007720230902,09/02/2023,624,77,134,TEAM
0646071820230902,09/02/2023,646,718,185,TEAM
0647045820230902,09/02/2023,647,458,179,TEAM
0651077220230902,09/02/2023,651,772,148,TEAM
0654032720230902,09/02/2023,654,327,52,TEAM
0655043020230902,09/02/2023,655,430,77,TEAM
0670005120230902,09/02/2023,670,51,183,TEAM
0676071620230902,09/02/2023,676,716,4,TEAM
0691051320230902,09/02/2023,691,513,49,TEAM
0695025720230902,09/02/2023,695,257,36,TEAM
0700081120230902,09/02/2023,700,811,144,TEAM
0706028820230902,09/02/2023,706,288,184,TEAM
0709030120230902,09/02/2023,709,301,44,TEAM
0711039220230902,09/02/2023,711,392,64,TEAM
0725049820230902,09/02/2023,725,498,57,TEAM
0731031220230902,09/02/2023,731,312,41,TEAM
0746069420230902,09/02/2023,746,694,118,NEUTRAL
0754015620230902,09/02/2023,754,156,188,TEAM
0768053920230902,09/02/2023,768,539,111,TEAM
0769003120230902,09/02/2023,769,31,8,TEAM
0771047220230902,09/02/2023,771,472,88,TEAM
1004052120230902,09/02/2023,1004,521,104,TEAM
1092002720230902,09/02/2023,1092,27,168,TEAM
2743070420230902,09/02/2023,2743,704,124,TEAM
2915054520230902,09/02/2023,2915,545,110,TEAM
0365023420230903,09/03/2023,365,234,32,NEUTRAL
0509058720230903,09/03/2023,509,587,86,TEAM
0528063020230903,09/03/2023,528,630,18,TEAM
0147019320230904,09/04/2023,147,193,80,TEAM
0454036720230907,09/07/2023,454,367,54,TEAM
0301032820230908,09/08/2023,301,328,51,TEAM
0305030620230908,09/08/2023,305,306,47,TEAM
0009025320230909,09/09/2023,9,253,167,TEAM
0014027720230909,09/09/2023,14,277,203,TEAM
0027045720230909,09/09/2023,27,457,78,TEAM
0029043020230909,09/09/2023,29,430,77,TEAM
0037010720230909,09/09/2023,37,107,12,TEAM
0043069420230909,09/09/2023,43,694,114,TEAM
0047025720230909,09/09/2023,47,257,36,TEAM
0048014720230909,09/09/2023,48,147,112,TEAM
0090063020230909,09/09/2023,90,630,18,TEAM
0108052820230909,09/09/2023,108,528,107,TEAM
0110062620230909,09/09/2023,110,626,746,TEAM
0128006620230909,09/09/2023,128,66,42,TEAM
0140054520230909,09/09/2023,140,545,110,TEAM
0164025420230909,09/09/2023,164,254,189,TEAM
0178072520230909,09/09/2023,178,725,93,TEAM
0180053920230909,09/09/2023,180,539,111,TEAM
0194076820230909,09/09/2023,194,768,143,TEAM
0201007120230909,09/09/2023,201,71,96,TEAM
0202033420230909,09/09/2023,202,334,53,TEAM
0204042820230909,09/09/2023,204,428,153,TEAM
0207009620230909,09/09/2023,207,96,13,TEAM
0228065120230909,09/09/2023,228,651,35,TEAM
0236008620230909,09/09/2023,236,86,91,TEAM
0244064820230909,09/09/2023,244,648,113,TEAM
0261036520230909,09/09/2023,261,365,55,TEAM
0285006720230909,09/09/2023,285,67,61,TEAM
0287077220230909,09/09/2023,287,772,148,TEAM
0288057420230909,09/09/2023,288,574,127,TEAM
0294073120230909,09/09/2023,294,731,133,TEAM
0295046620230909,09/09/2023,295,466,90,TEAM
0312031120230909,09/09/2023,312,311,40,TEAM
0315014920230909,09/09/2023,315,149,191,TEAM
0317074620230909,09/09/2023,317,746,137,TEAM
0331003120230909,09/09/2023,331,31,6,TEAM
0342019320230909,09/09/2023,342,193,80,TEAM
0346049820230909,09/09/2023,346,498,57,TEAM
0388019620230909,09/09/2023,388,196,81,TEAM
0402023520230909,09/09/2023,402,235,27,TEAM
0404003020230909,09/09/2023,404,30,7,TEAM
0414040020230909,09/09/2023,414,400,173,TEAM
0419043420230909,09/09/2023,419,434,73,TEAM
0433071820230909,09/09/2023,433,718,185,TEAM
0446000520230909,09/09/2023,446,5,154,TEAM
0458039220230909,09/09/2023,458,392,64,TEAM
0463015720230909,09/09/2023,463,157,20,TEAM
0465041820230909,09/09/2023,465,418,66,TEAM
0469012920230909,09/09/2023,469,129,70,TEAM
0472035520230909,09/09/2023,472,355,194,TEAM
0483069820230909,09/09/2023,483,698,125,TEAM
0497023120230909,09/09/2023,497,231,31,TEAM
0508036620230909,09/09/2023,508,366,59,TEAM
0513049020230909,09/09/2023,513,490,82,TEAM
0519022920230909,09/09/2023,519,229,159,TEAM
0521002820230909,09/09/2023,521,28,10,TEAM
0529070020230909,09/09/2023,529,700,129,TEAM
0550081120230909,09/09/2023,550,811,144,TEAM
0559074220230909,09/09/2023,559,742,136,TEAM
0575041620230909,09/09/2023,575,416,68,TEAM
0647025520230909,09/09/2023,647,255,37,TEAM
0655064620230909,09/09/2023,655,646,197,TEAM
0659050320230909,09/09/2023,659,503,45,TEAM
0663052220230909,09/09/2023,663,522,103,TEAM
0664023420230909,09/09/2023,664,234,33,TEAM
0667007720230909,09/09/2023,667,77,134,TEAM
0670070620230909,09/09/2023,670,706,130,TEAM
0671052320230909,09/09/2023,671,523,169,TEAM
0674065720230909,09/09/2023,674,657,14,TEAM
0690058720230909,09/09/2023,690,587,86,TEAM
0692047320230909,09/09/2023,692,473,87,TEAM
0697041520230909,09/09/2023,697,415,30,TEAM
0699070920230909,09/09/2023,699,709,102,TEAM
0703000820230909,09/09/2023,703,8,5,TEAM
0704050920230909,09/09/2023,704,509,46,TEAM
0716032720230909,09/09/2023,716,327,52,TEAM
0719075620230909,09/09/2023,719,756,139,TEAM
0721062420230909,09/09/2023,721,624,128,NEUTRAL
0732005120230909,09/09/2023,732,51,183,TEAM
0736074920230909,09/09/2023,736,749,83,TEAM
0748072620230909,09/09/2023,748,726,62,TEAM
0774068820230909,09/09/2023,774,688,92,TEAM
0796075420230909,09/09/2023,796,754,138,TEAM
0817051820230909,09/09/2023,817,518,99,TEAM
0061041520230914,09/14/2023,61,415,30,TEAM
0726040420230914,09/14/2023,726,404,115,TEAM
0725070620230915,09/15/2023,725,706,130,TEAM
0731072120230915,09/15/2023,731,721,21,TEAM
0746039220230915,09/15/2023,746,392,64,TEAM
0005033420230916,09/16/2023,5,334,53,TEAM
0008065120230916,09/16/2023,8,651,35,TEAM
0071041820230916,09/16/2023,71,418,66,TEAM
0077003120230916,09/16/2023,77,31,6,TEAM
0096002820230916,09/16/2023,96,28,10,TEAM
0102067420230916,09/16/2023,102,674,19,TEAM
0127033120230916,09/16/2023,127,331,100,TEAM
0129051320230916,09/16/2023,129,513,49,TEAM
0156015720230916,09/16/2023,156,157,20,TEAM
0194014920230916,09/16/2023,194,149,191,TEAM
0196002720230916,09/16/2023,196,27,168,TEAM
0229014720230916,09/16/2023,229,147,112,TEAM
0231016420230916,09/16/2023,231,164,25,TEAM
0234006720230916,09/16/2023,234,67,61,TEAM
0253079620230916,09/16/2023,253,796,141,TEAM
0254045820230916,09/16/2023,254,458,179,TEAM
0255043320230916,09/16/2023,255,433,76,TEAM
0277052920230916,09/16/2023,277,529,108,TEAM
0295010720230916,09/16/2023,295,107,12,TEAM
0305004720230916,09/16/2023,305,47,48,TEAM
0311051920230916,09/16/2023,311,519,95,TEAM
0314067020230916,09/16/2023,314,670,131,TEAM
0317071620230916,09/16/2023,317,716,4,TEAM
0327043420230916,09/16/2023,327,434,73,TEAM
0328046620230916,09/16/2023,328,466,90,TEAM
0355008620230916,09/16/2023,355,86,91,TEAM
0361005120230916,09/16/2023,361,51,183,TEAM
0365043020230916,09/16/2023,365,430,77,TEAM
0367030620230916,09/16/2023,367,306,162,NEUTRAL
0400020420230916,09/16/2023,400,204,71,TEAM
0414014020230916,09/16/2023,414,140,97,TEAM
0428045720230916,09/16/2023,428,457,78,TEAM
0454041920230916,09/16/2023,454,419,116,TEAM
0472047320230916,09/16/2023,472,473,87,TEAM
0485069020230916,09/16/2023,485,690,109,TEAM
0489011020230916,09/16/2023,489,110,15,TEAM
0494006620230916,09/16/2023,494,66,42,TEAM
0497036620230916,09/16/2023,497,366,59,TEAM
0498069720230916,09/16/2023,498,697,120,TEAM
0502075420230916,09/16/2023,502,754,138,TEAM
0503046320230916,09/16/2023,503,463,84,TEAM
0509019320230916,09/16/2023,509,193,80,TEAM
0522071920230916,09/16/2023,522,719,105,TEAM
0539030120230916,09/16/2023,539,301,44,TEAM
0545076820230916,09/16/2023,545,768,143,TEAM
0553066320230916,09/16/2023,553,663,122,TEAM
0625003720230916,09/16/2023,625,37,1,TEAM
0626052820230916,09/16/2023,626,528,107,TEAM
0630070920230916,09/16/2023,630,709,102,TEAM
0646052120230916,09/16/2023,646,521,104,TEAM
0648025720230916,09/16/2023,648,257,36,TEAM
0671000920230916,09/16/2023,671,9,329,TEAM
0683003020230916,09/16/2023,683,30,7,TEAM
0688055920230916,09/16/2023,688,559,50,TEAM
0694023520230916,09/16/2023,694,235,27,TEAM
0698028820230916,09/16/2023,698,288,184,TEAM
0699057420230916,09/16/2023,699,574,127,TEAM
0704002920230916,09/16/2023,704,29,11,TEAM
0718066420230916,09/16/2023,718,664,75,TEAM
0736046520230916,09/16/2023,736,465,198,TEAM
0739012820230916,09/16/2023,739,128,146,TEAM
0741049020230916,09/16/2023,741,490,82,TEAM
0742058720230916,09/16/2023,742,587,86,TEAM
0749052320230916,09/16/2023,749,523,169,TEAM
0756041620230916,09/16/2023,756,416,68,TEAM
0758073220230916,09/16/2023,758,732,135,TEAM
0772051820230916,09/16/2023,772,518,99,TEAM
0774031220230916,09/16/2023,774,312,41,TEAM
0811070320230916,09/16/2023,811,703,119,TEAM
1395070020230916,09/16/2023,1395,700,129,TEAM
0254014920230921,09/21/2023,254,149,191,TEAM
0066062620230922,09/22/2023,66,626,746,TEAM
0490074620230922,09/22/2023,490,746,137,TEAM
0721063020230922,09/22/2023,721,630,18,TEAM
0796055920230922,09/22/2023,796,559,50,TEAM
0005030620230923,09/23/2023,5,306,47,TEAM
0009025720230923,09/23/2023,9,257,36,TEAM
0027081120230923,09/23/2023,27,811,144,TEAM
0029067420230923,09/23/2023,29,674,19,TEAM
0031036520230923,09/23/2023,31,365,55,TEAM
0037069720230923,09/23/2023,37,697,120,TEAM
0067036720230923,09/23/2023,67,367,54,TEAM
0077032820230923,09/23/2023,77,328,51,TEAM
0086067120230923,09/23/2023,86,671,56,TEAM
0107075620230923,09/23/2023,107,756,139,TEAM
0110073220230923,09/23/2023,110,732,135,TEAM
0128032720230923,09/23/2023,128,327,52,TEAM
0129064620230923,09/23/2023,129,646,197,TEAM
0156041920230923,09/23/2023,156,419,116,TEAM
0157052920230923,09/23/2023,157,529,108,TEAM
0178041420230923,09/23/2023,178,414,101,TEAM
0193016420230923,09/23/2023,193,164,25,TEAM
0199052320230923,09/23/2023,199,523,169,TEAM
0204031520230923,09/23/2023,204,315,207,TEAM
0229030120230923,09/23/2023,229,301,44,TEAM
0234014720230923,09/23/2023,234,147,112,TEAM
0253004720230923,09/23/2023,253,47,48,TEAM
0255074920230923,09/23/2023,255,749,83,TEAM
0312053920230923,09/23/2023,312,539,111,TEAM
0317073120230923,09/23/2023,317,731,133,TEAM
0331009620230923,09/23/2023,331,96,13,TEAM
0334073620230923,09/23/2023,334,736,117,TEAM
0355023120230923,09/23/2023,355,231,31,TEAM
0366046320230923,09/23/2023,366,463,84,TEAM
0392041620230923,09/23/2023,392,416,68,TEAM
0404043420230923,09/23/2023,404,434,149,NEUTRAL
0415069020230923,09/23/2023,415,690,109,TEAM
0428050920230923,09/23/2023,428,509,46,TEAM
0430064820230923,09/23/2023,430,648,113,TEAM
0433000820230923,09/23/2023,433,8,5,TEAM
0457054520230923,09/23/2023,457,545,110,TEAM
0458023520230923,09/23/2023,458,235,27,TEAM
0465070420230923,09/23/2023,465,704,124,TEAM
0466067020230923,09/23/2023,466,670,131,TEAM
0472027720230923,09/23/2023,472,277,203,TEAM
0473040020230923,09/23/2023,473,400,173,TEAM
0483071820230923,09/23/2023,483,718,185,TEAM
0518051320230923,09/23/2023,518,513,49,TEAM
0519007120230923,09/23/2023,519,71,96,TEAM
0521031120230923,09/23/2023,521,311,40,TEAM
0522014020230923,09/23/2023,522,140,97,TEAM
0528075420230923,09/23/2023,528,754,138,TEAM
0574065120230923,09/23/2023,574,651,35,TEAM
0587041820230923,09/23/2023,587,418,66,TEAM
0624028820230923,09/23/2023,624,288,184,TEAM
0657002820230923,09/23/2023,657,28,10,TEAM
0663069820230923,09/23/2023,663,698,125,TEAM
0664003020230923,09/23/2023,664,30,7,TEAM
0700076820230923,09/23/2023,700,768,143,TEAM
0703005120230923,09/23/2023,703,51,183,TEAM
0706069420230923,09/23/2023,706,694,114,TEAM
0719050320230923,09/23/2023,719,503,45,TEAM
0725068820230923,09/23/2023,725,688,92,TEAM
0742038820230923,09/23/2023,742,388,142,TEAM
0772071620230923,09/23/2023,772,716,4,TEAM
0774070920230923,09/23/2023,774,709,102,TEAM
1092019620230923,09/23/2023,1092,196,81,TEAM
0315062420230928,09/28/2023,315,624,314,TEAM
0419077220230928,09/28/2023,419,772,148,TEAM
0690071920230928,09/28/2023,690,719,105,TEAM
0140007720230929,09/29/2023,140,77,134,TEAM
0366070420230929,09/29/2023,366,704,124,TEAM
0367049020230929,09/29/2023,367,490,82,TEAM
0732052820230929,09/29/2023,732,528,107,TEAM
0002049720230930,09/30/2023,2,497,160,TEAM
0008043020230930,09/30/2023,8,430,77,TEAM
0009071820230930,09/30/2023,9,718,185,TEAM
0027049820230930,09/30/2023,27,498,57,TEAM
0028010720230930,09/30/2023,28,107,12,TEAM
0030040020230930,09/30/2023,30,400,173,TEAM
0047077420230930,09/30/2023,47,774,69,TEAM
0051012820230930,09/30/2023,51,128,146,TEAM
0066040420230930,09/30/2023,66,404,115,TEAM
0071025520230930,09/30/2023,71,255,37,TEAM
0086000520230930,09/30/2023,86,5,154,TEAM
0147068820230930,09/30/2023,147,688,92,TEAM
0149025320230930,09/30/2023,149,253,167,TEAM
0196057420230930,09/30/2023,196,574,127,TEAM
0204012920230930,09/30/2023,204,129,70,TEAM
0235033420230930,09/30/2023,235,334,53,TEAM
0257003720230930,09/30/2023,257,37,1,TEAM
0277046520230930,09/30/2023,277,465,198,TEAM
0288070020230930,09/30/2023,288,700,129,TEAM
0301055920230930,09/30/2023,301,559,50,TEAM
0306039220230930,09/30/2023,306,392,64,TEAM
0311052220230930,09/30/2023,311,522,103,TEAM
0328070320230930,09/30/2023,328,703,119,TEAM
0365043320230930,09/30/2023,365,433,76,TEAM
0414033120230930,09/30/2023,414,331,100,TEAM
0416031220230930,09/30/2023,416,312,41,TEAM
0418046320230930,09/30/2023,418,463,84,TEAM
0434073620230930,09/30/2023,434,736,117,TEAM
0458066320230930,09/30/2023,458,663,122,TEAM
0466009620230930,09/30/2023,466,96,13,TEAM
0473081120230930,09/30/2023,473,811,144,TEAM
0503070920230930,09/30/2023,503,709,102,TEAM
0513019320230930,09/30/2023,513,193,80,TEAM
0523038820230930,09/30/2023,523,388,142,TEAM
0529067420230930,09/30/2023,529,674,19,TEAM
0539050920230930,09/30/2023,539,509,46,TEAM
0545074220230930,09/30/2023,545,742,136,TEAM
0626072120230930,09/30/2023,626,721,21,TEAM
0646031720230930,09/30/2023,646,317,323,TEAM
0648069420230930,09/30/2023,648,694,114,TEAM
0651072620230930,09/30/2023,651,726,62,TEAM
0657015720230930,09/30/2023,657,157,20,TEAM
0670066420230930,09/30/2023,670,664,75,TEAM
0671042820230930,09/30/2023,671,428,153,TEAM
0697003120230930,09/30/2023,697,31,155,NEUTRAL
0716025420230930,09/30/2023,716,254,189,TEAM
0731016420230930,09/30/2023,731,164,25,TEAM
0746006720230930,09/30/2023,746,67,61,TEAM
0748058720230930,09/30/2023,748,587,86,TEAM
0756002920230930,09/30/2023,756,29,11,TEAM
0768069820230930,09/30/2023,768,698,125,TEAM
4001015620230930,09/30/2023,4001,156,188,TEAM
0231047220231004,10/04/2023,231,472,88,TEAM
0315041920231004,10/04/2023,315,419,116,TEAM
0624035520231005,10/05/2023,624,355,194,TEAM
0772036620231005,10/05/2023,772,366,59,TEAM
0327052120231006,10/06/2023,327,521,104,TEAM
0463030120231006,10/06/2023,463,301,44,TEAM
0008069720231007,10/07/2023,8,697,120,TEAM
0029065720231007,10/07/2023,29,657,14,TEAM
0030071620231007,10/07/2023,30,716,4,TEAM
0031043320231007,10/07/2023,31,433,76,TEAM
0047020420231007,10/07/2023,47,204,71,TEAM
0067072520231007,10/07/2023,67,725,93,TEAM
0071041420231007,10/07/2023,71,414,101,TEAM
0096081120231007,10/07/2023,96,811,144,TEAM
0128032820231007,10/07/2023,128,328,51,TEAM
0129008620231007,10/07/2023,129,86,91,TEAM
0156073120231007,10/07/2023,156,731,133,TEAM
0157002820231007,10/07/2023,157,28,10,TEAM
0164057420231007,10/07/2023,164,574,127,TEAM
0255041520231007,10/07/2023,255,415,30,TEAM
0290050920231007,10/07/2023,290,509,46,TEAM
0331051920231007,10/07/2023,331,519,95,TEAM
0334025720231007,10/07/2023,334,257,36,TEAM
0365043420231007,10/07/2023,365,434,73,TEAM
0388049020231007,10/07/2023,388,490,82,TEAM
0392051820231007,10/07/2023,392,518,99,TEAM
0418042820231007,10/07/2023,418,428,153,TEAM
0497072620231007,10/07/2023,497,726,62,TEAM
0503000520231007,10/07/2023,503,5,154,TEAM
0513036720231007,10/07/2023,513,367,54,TEAM
0522070320231007,10/07/2023,522,703,121,NEUTRAL
0523066420231007,10/07/2023,523,664,75,TEAM
0528010720231007,10/07/2023,528,107,12,TEAM
0559031220231007,10/07/2023,559,312,41,TEAM
0587079620231007,10/07/2023,587,796,141,TEAM
0630006620231007,10/07/2023,630,66,42,TEAM
0646049820231007,10/07/2023,646,498,57,TEAM
0651000920231007,10/07/2023,651,9,329,TEAM
0670067120231007,10/07/2023,670,671,56,TEAM
0688045720231007,10/07/2023,688,457,78,TEAM
0698031120231007,10/07/2023,698,311,40,TEAM
0700005120231007,10/07/2023,700,51,183,TEAM
0706069020231007,10/07/2023,706,690,109,TEAM
0709040020231007,10/07/2023,709,400,173,TEAM
0719022920231007,10/07/2023,719,229,159,TEAM
0736023520231007,10/07/2023,736,235,27,TEAM
0742023420231007,10/07/2023,742,234,33,TEAM
0749014720231007,10/07/2023,749,147,112,TEAM
0754011020231007,10/07/2023,754,110,15,TEAM
0774043020231007,10/07/2023,774,430,77,TEAM
0786074620231007,10/07/2023,786,746,137,TEAM
0149002720231010,10/10/2023,149,27,168,TEAM
0355031520231010,10/10/2023,355,315,207,TEAM
0366041920231010,10/10/2023,366,419,116,TEAM
0624047220231011,10/11/2023,624,472,88,TEAM
0704023120231011,10/11/2023,704,231,31,TEAM
0663019620231012,10/12/2023,663,196,81,TEAM
0768028820231012,10/12/2023,768,288,184,TEAM
0096073120231013,10/13/2023,96,731,133,TEAM
0674015720231013,10/13/2023,674,157,20,TEAM
0718040420231013,10/13/2023,718,404,115,TEAM
0005012920231014,10/14/2023,5,129,70,TEAM
0009070620231014,10/14/2023,9,706,130,TEAM
0029075420231014,10/14/2023,29,754,138,TEAM
0031000820231014,10/14/2023,31,8,5,TEAM
0037036520231014,10/14/2023,37,365,55,TEAM
0066015620231014,10/14/2023,66,156,188,TEAM
0071008620231014,10/14/2023,71,86,91,TEAM
0077069820231014,10/14/2023,77,698,125,TEAM
0107073220231014,10/14/2023,107,732,135,TEAM
0110052820231014,10/14/2023,110,528,107,TEAM
0229065120231014,10/14/2023,229,651,35,TEAM
0235064820231014,10/14/2023,235,648,113,TEAM
0253031720231014,10/14/2023,253,317,323,TEAM
0257073620231014,10/14/2023,257,736,117,TEAM
